index,tweet,label
0,pagi2 udah di buat emosi :),anger
1,"kok stabilitas negara, memange 10 thn negara tdk aman, bahkan sby menyuburkan ormas2 radikal, intoleran, teroris, yg berafiliasi ke partai tertentu..narasi klhtn intelektual tp bodoh..",anger
2,dah lah emosi mulu liat emyu,anger
3,"aib? bodoh benar! sebelum kata aib itu muncul, terlebih dahulu sudah ada tindakan. yakni kekejian! jangan kau sembunyikan caramu menelaah masalah. semisal anak perempuanmu ditempeleng! apa kau juga setuju untuk dia bersikap bungkam? melapor polisi adl benar. lantas apa bedanya",anger
4,dih lu yg nyebelin bego,anger
5,"asli malu maluin org indo tolol yg rep latah ""cilukba"" pake huruf hijaiyah sm ""ngntd"" sama ganti huruf t pake salib, ada tiktok filipin lewat fyp aku dan repnya ""ngtd"" semua, dasar goblogg trend tiktok ter tolol",anger
6,drama abg tolol,anger
7,masih emosi sih sama katla kemarin. mana keterangannya gini aja. ((hasil mengaci)) kzl.,anger
8,"bangsat tribute no.1, bencana no.2 mau ngalahin ini keknya",anger
9,pengen pergi jauh terus teriak sambil nangis sekencang kencangnya nanti balik kalo gue udah lupa segalanya wkwj kn tolol mustahil banget,anger
10,ya allah mau marah tpi gimana ya,anger
11,silibus kita memang kbat gila babi. bodoh yang buat silibus ni. learning should be fun.,anger
12,"pagi-pagi dikerjain orang haha dikira gua bego, ya gua ladenin lahh liat sampe manaa",anger
13,"angka covid lagi naek. kalo masih dilanjut event offlinenya, asli bodoh sih ni brand.",anger
14,"bukan lebih ke sangar sih , kalo menurutku goblokk bin tolol . di ingetin untuk kebaikan malah acuh",anger
15,"mas ngelonte dulu mas, biar otaknya jadi seger lg, bagi org kafir seperti lu ngewe dgn lonte ibadah yg utama. punya tolol kok kebangetan bgt sih",anger
16,1-10!! marah aku,anger
17,tolol banget. mana ada bercinta. yg ada mimpi di kejar kejar setan semalem. asu bocil nih yang iya iya aja kalo bicara,anger
18,"izinin suami poligami buat menghindari zina? lol banget, heh mmngnya nabi saya poligami gegara mata keranjang trus sangean? trus ada niatan zina, tpi biar gak zina jdi dinikahin? ngelirik cewek sambil nyebarin ajaran agama gitu? tolol, belajar agama lagi sana",anger
19,gua nyerah joki aja kali ya tugas poem ya allah kenapa aku bego b ing,anger
20,hah? kaya dendam bnaget sama ibu,anger
21,huahh benci covid bangett. semoga berhenti di jimin tidak ada jungkook dan juga taehyung. no god pliss,anger
22,"benci banget sama diri sendiri, gampang nangis kalo ngobrol sama orang tua.",anger
23,"ni geng lgbt patutle. libtard, gay, bodoh, tahi",anger
24,iya ni tvn kan suka memancing emosi penonton,anger
