index,tweet,label
1318,"sumpah ya gue sampe takut tiap papasan sama ayam, pasti ngelambat. soalnya doi tuh bukannya minggir yang lebih deket tapi malah nyebrang",fear
2730,"wah, ikut senang. selamat ulang tahun sender! boleh aku pakai twibbonnya juga?",joy
4553,"ada kak biasa bikin cerpen, no copas copas, berpengalaman sebagai penulis juga dan bisa cek testinya yup",neutral
4449,"09.20 simpang agus salim : antrian kendaran normal diketiga kaki simpang, situasi arus lalulintas lancar",neutral
10448,"aku khawatir kalo pergi sendirian, jadi aku bawa temen biar ga terlalu sendiri",fear
9484,"udah ga bsa ya, pagi2 udah ribet, aku marah banget",anger
5419,hapuskan semua gelisah,neutral
7247,aku bangga bisa ikut perjuangan demi masa depan yang cerah,joy
11272,"sayang, aku sayang kalian banget, jangan lupa aku ya",love
11340,"kayaknya kalian suka banget sama wgl akun chaewon ya, jangan lupa perhatiannya",love
5994,"cuma karena kyohei gak banyak disorot di truth, ada yg gak mau beli dvdnya, wkwk. aku paham dia kecewa, aku pun kemarin sampe nyari-nyari keberadaan kyohei, tapi kan isi dvd katakon gak cuma truth doang, bambang. di spl misalnya, kyohei banyak disorot kok",neutral
11480,"papi suka kamu banget, bikin happy semua, papi gak pernah bosan ngelakonin hal yang kamu suka",love
2546,kamu juga semangat ya. sudah sarapan belum?,joy
2228,semangat isah,joy
5885,morningg bestiee!! sepi amat deh,neutral
8681,"gemes deh crush sender jadi sering reply sw sender, seneng sih gaes tapi ya nggak juga, ya dianggep temen doang aja",sad
9170,"gemes deh ngerjain revisian, rasanya berat banget, malah makin ngeriin diriku sendiri",anger
10310,"ga ada yang ngeri lebih dari mens team, udah pasti bikin panik",fear
3284,kamu sedih ? kamu sudah kena prank lmao,joy
6728,"happy birthday tapi sedih season ni maybe tiada hadiah silverware with club epl sudah sah jauh ketinggalan. ucl je lah tinggal, itupun kalau mampu.",sad
10391,"aku yang punya aja terkejut, berat banget sih",fear
9291,"sih kok sering update sw aku, pas abis minjem duit eh, kukira kontaknya udah terhapus anj.. foya-foya sambil ngumpet gak enak tau, bangsat",anger
3728,"pitnah itu! kompensasi crosong aja belum di kasih, eh udh pitnah aku gak suka waffles. sekalian aja bilang aku suka croffle?",love
356,reply la ws apa yang susah sangat nak suruh fix app je pun kang aku tak masuk kelas pastu kata aku ponteng bodoh betul,anger
12512,"benda paling sakti saat ini bukan nuklir tapi do-it-yourself..dia bisa do-it..do apa saja,,hampir semuanya bisa dibeli",neutral
9402,"ngapain aja ya. aku gak pernah membedakan orang, tapi ternyata ada yg gak begitu. pas aku kehilangan pekerjaan, dia seneng banget, dan aku sedih banget",anger
10836,"pak, saya takut anak saya di vaksin, dia baru berusia 9 tahun. Setelah vaksin, dada dia sering sakit. Saya sering terlalu tertekan mengenai vaksin ini. Tolong saya, pak.",fear
4127,biasanya ka nambah shipping dr supplier ke wh nya saja ka tambahannya 300 won selebihnya untuk ekspedisi tax tetep sharing sm barang ku yg lain,neutral
10483,wkwkwk aku takut banget kalau lagi digigit,fear
9696,"gemes deh pagi ini, emosi banget",anger
837,malaysia ni. tokey besar la jadi payung orang politik. sebab tu nak kawal harga barang pun takut. nak tekan orang tengah tak berani. tokey besar bagi komisen banyak kat orang politik. subprojek dekat tokey besar. dapat komisen pun dah boleh kaya 7 keturunan,anger
6248,ngelamar kerja bedua yg keterima dia doang ya wajar sih tp gak tau kenapa sedih aja gitu.,sad
266,lagi kesal gegara kelompok,anger
9059,"gemes deh, ajaib kalo minta aja dikatakan salah, giliran gua minta gak dikatakan salah. giliran gua marah gue juga yg salah hadeh yaallah",anger
2006,"orang di rumah sakit sudah biasa ketemu dokter, lah aku malah takutan",fear
4746,"jasa! hai yang butuh joki mandarin berupa tugas, realtime, tulis hanzi dll bisa ke ya! joki tulis biasa, joki ketik juga bisa kuliah di salah 1 universitas di beijing hsk 4 dengan score 289 pengerjaan cepat fee bersahabat",neutral
6821,bangun jam 5 tadi krn mimpinya sedih. barusan tidur lagi 15 menit mimpinya malah lanjut. another day of waking up with a heavy heart. ga enak,sad
9658,"kalo ga mau belajar ga mau kerja jauh, ga mau ngomongin sama orang. rasanya aku pun benci sama perangai aku, thanks semua orang yang jadi contoh terbaik",anger
2362,"pagi juga om, semoga sehat selalu ngopi om enak sekarang apalagi ngak ada beban liat kiri dan kanan liat orang mencurigakan",joy
5683,"kalo itu temen deket, kadang mereka kyk gitu tuh krn nganggep kamu santai, ga mudah marah, jd mereka nyaman aja godain km. solusinya km lebih tegas lagi aja, lebih ditunjukin kl km ga suka, jgn terlalu ga enakan..",neutral
5271,akhirnya kita gak malu lagi soalnya bener,neutral
10672,"gue khawatir nih, terus terang gue khawatir",fear
10432,"soale takut ada yang macam macam, kalau bawa temen kan seenggaknya ada yang bisa bantu",fear
511,"undang2 bodoh pala hangguk ko dah hentam blkg, sah2 laa salah. jarak between kenderaan tuh 3 saat atau selang 3 kereta. takkan tak tau undang2 jalan raya bodo piang ngat aaiihh. meh sini keter ko aku sodok dgn backhoe 18 kali, tgk undang2 bodoh ke tak.",anger
2899,bodoh itu mah xixi,joy
1890,gw yang punya aja terkejut mei,fear
3465,"lovestruck in the city (2020) drama yang ringan banget. buat yang suka nonton drakor romantis, pasti suka karna w suka bet",love
7981,"aku gak sedih banget, tapi aku gak bisa ikhlas ngerti apa yang aku rasakan",sad
157,"jujur shock di bagian bangsatnya sih, biasanya kayaknya drake doang ga ampe bangsat",anger
11274,"oke, aku suka banget sama mereka berdua. micchi riko satu film entah kenapa pas nonton kiekoi aku suka bgt kalau mereka berdua satu scene",love
127,"mak yng darah tinggi andin makk, knp mamak yng marah marah, lanjutkan makk",anger
5910,"aku ke cafe, tp cafe yg sepi gitu, kayak starbucks atau roketo kalo di dom aku",neutral
3184,lagi seneng soalnya dapet kabar baik i vote for at the 2022,joy
1441,aduh jadi malu,fear
5985,"congrats kak fik, tuh tak kasih congrats biar ga sepi sepu amat",neutral
7335,"aku seneng bgt deh, gue seolah2 gila aja sama newwie, padahal gue biasa aja gitu, kalo gue gila banget kan gue gak akan terus2 aja ngeposting di twitter, gue akan ke penjara",joy
8005,"pny gmn dlu kalo ga ada aku pny, aku nyesel",sad
2748,semangat zarven.,joy
11392,"akulah cintamu, aku sangat sayang padamu",love
4049,"enak kuenya, love you cintaaa",love
8871,kenapa sih aku jatuh cinta ke cowo yang jadi pacar orang lain. aku merasa terluka dan kesepian. aku harus belajar untuk mengatasi rasa sakit ini. aku harus berusaha untuk melanjutkan hidup dan mencintai diri sendiri,sad
6475,sedih karena belum dapat kabar dari ayang,sad
